ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_design_quality_score,feat_enrollment_log,feat_lead_asset_dependency_score,feat_log_market_cap,feat_n_trials_for_company,feat_n_unique_drugs_for_company,feat_phase_num,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_regulatory_stage_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_trial_quality_score,feat_volatility,feat_active_not_recruiting_flag,feat_blinded_flag,feat_breakthrough_flag,feat_cns_flag,feat_completed_flag,feat_fast_track_flag,feat_late_stage_flag,feat_nda_bla_flag,feat_oncology_flag,feat_open_label_flag,feat_orphan_flag,feat_ownership_low_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_randomized_flag,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_short_squeeze_flag,feat_single_asset_company_flag,feat_small_trial_flag,feat_mesh_level1_encoded,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Other,feat_therapeutic_superclass_Respiratory,feat_event_proximity_bucket_future_far,feat_event_proximity_bucket_future_near,feat_event_proximity_bucket_just_completed,feat_event_proximity_bucket_past,feat_event_proximity_bucket_unknown,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
ARTV,2025-10-01,AlloNK,NCT06265220,0,1,1.0,0.8607,1,669.0,-1.0,3.951243718581427,1.0,2.1550322287909704,1,1,1.0,0.2773,0.0,0,156.5,95.0,-1.0,9.77,1.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,test
TNYA,2025-10-01,TN-401,NCT06228924,0,1,0.5,0.463,2,212.0,-1.0,2.772588722239781,0.7,2.084933574936716,2,2,1.0,0.4394,1.0,2,156.5,214.0,-1.0,8.01,0.0,0,0,0,0.0,0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,1.0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,test
ABBV,2025-10-06,BOTOX,NCT06399718,0,1,0.0357,0.0128,27,35.0,4.0,5.337538079701318,0.2,5.613161422822089,28,23,3.0,4.2712,3.0,2,156.5,49.0,5.0,2.05,0.0,1,0,0,1.0,0,1.0,1,0,0,0,0.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0,0.0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,test
SPRB,2025-10-06,tralesinidase alfa (TA-ERT),,1,1,0.3333,0.182,2,0.0,3.0,5.303304908059076,0.7,1.7693773260761383,3,2,2.0,0.4394,2.0,2,156.5,66.0,4.0,11.68,0.0,0,1,1,0.0,0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,test
MRK,2025-10-09,Pembrolizumab,NCT04700072,0,18,0.4167,0.0476,44,8.0,2.0,4.04305126783455,0.2,5.485908161342839,48,19,1.5,4.1983,1.0,2,391.0,39.0,2.0,2.28,0.0,0,0,0,1.0,0,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,test
CABA,2025-10-31,rese-cel (formerly CABA-201),NCT06154252,0,1,0.3333,0.5003,3,974.0,-0.5,4.31748811353631,0.4,2.5046067706419537,3,3,2.5,2.3545,1.0,0,156.5,147.0,-0.5,12.78,0.0,0,0,0,0.0,0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,test
LLY,2025-10-15,Orforglipron,NCT06109311,0,4,0.2069,0.0073,25,-30.0,5.0,6.304448802421981,0.2,5.996687893411713,29,15,3.0,4.109,2.0,0,68.0,26.0,6.0,2.34,0.0,1,0,0,1.0,0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,test
PRAX,2025-10-16,ulixacaltamide,NCT06087276,1,1,0.25,0.0642,3,-45.0,5.0,6.90875477931522,0.4,3.9703980213907792,4,4,3.0,2.4438,3.0,2,156.5,958.0,6.0,6.26,0.0,1,0,1,0.0,0,1.0,1,0,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,test
RHHBY,2025-10-17,Vamikibart,NCT05642325,0,1,0.04,0.0404,25,-163.0,4.0,5.54907608489522,0.2,5.583827535327012,25,16,3.0,4.1333,2.5,1,156.5,248.0,5.0,1.78,0.0,0,0,1,1.0,0,1.0,0,0,0,0,1.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,test
MRK,2025-10-17,Pembrolizumab,NCT03516981,0,19,0.4167,0.0476,45,-126.0,3.0,5.5053315359323625,0.2,5.485908161342839,48,19,2.0,4.1983,0.0,0,8.0,8.0,3.0,2.3,0.0,0,0,1,1.0,0,0.0,0,0,0,0,0.0,0.0,0.0,1.0,0,1.0,1.0,1.0,0.0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,test
