ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
PALI,2023-08-09,PALI-2108,NCT07428096,best_match,,1,1
VRCA,2023-12-15,TO-208,NCT02641392,best_match,,1,1
IFRX,2023-04-05,vilobelimab,NCT06703073,best_match,,1,5
IXHL,2025-05-15,IHL-42X,NCT06146101,best_match,,1,1
IXHL,2025-07-24,IHL-42X,NCT06146101,best_match,,1,1
KZIA,2024-10-17,paxalisib,NCT05009992,best_match,,1,4
PLRX,2025-02-10,bexotegrast,NCT06097260,single_match,,1,1
PLRX,2025-03-03,bexotegrast,NCT06097260,single_match,,1,1
IFRX,2025-05-28,vilobelimab,NCT06703073,best_match,,1,5
ANVS,2024-04-29,buntanetap,NCT06709014,best_match,,1,3
ANNX,2023-05-25,ANX007,NCT04656561,best_match,,1,1
OSTX,2024-08-02,OST-HER2,,no_candidates,No trials found for 'OST-HER2',1,0
ENGN,2023-10-27,EG-70,NCT04752722,best_match,,1,1
MESO,2023-08-04,remestemcel-L,NCT04371393,best_match,,1,1
AGEN,2024-07-18,botensilimab (BOT) and balstilimab (BAL),NCT05864534,best_match,,1,1
NERV,2024-02-27,NVG-291,NCT05965700,best_match,,1,1
DBVT,2025-03-28,VIASKIN Peanut patch,NCT07003919,best_match,,1,3
LXRX,2025-03-03,pilavapadin (LX9211),NCT06203002,best_match,,2,3
EYPT,2023-04-21,DURAVYU,,no_candidates,No trials found for 'DURAVYU',1,0
NTHI,2025-07-02,NEO100,NCT06047379,best_match,,1,4
PALI,2023-03-30,PALI-2108,NCT07428096,best_match,,1,2
DWTX,2023-11-02,IMC-2,NCT06316843,single_match,,1,1
ATHE,2025-01-30,ATH434,NCT05864365,best_match,,1,1
OVID,2025-08-13,OV350,,no_candidates,No trials found for 'OV350',1,0
ALXO,2023-10-03,evorpacept,NCT05002127,best_match,,1,5
FULC,2023-02-24,FTX-6058,NCT07431398,best_match,,1,3
TNXP,2025-02-03,TNX-1500,NCT07204080,single_match,,1,1
CRDF,2024-12-10,onvansertib,NCT06106308,best_match,,1,5
MAZE,2025-09-11,MZE782,,no_candidates,No trials found for 'MZE782',1,0
ABOS,2023-07-17,ACU193,NCT04931459,best_match,,1,2
EWTX,2024-09-19,EDG-7500,NCT07034768,best_match,,1,4
TIL,2024-09-09,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
TVGN,2024-10-23,TVGN 489,,no_candidates,No trials found for 'TVGN 489' or variations ['TVGN'],2,0
ENLV,2024-04-11,Allocetra,NCT06233474,best_match,,1,5
EQ,2024-02-06,EQU-001,NCT05473442,best_match,,1,1
