ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
LLY,2023-06-09,2023-06-09,NCT05630196,A Chronic Pain Master Protocol (CPMP): A Study of LY3857210 in Participants With Chronic Low Back Pain,PHASE2,Eli Lilly and Company,Chronic Low-back Pain,138,LY3857210; Placebo,,0.09,-0.08,437.01,437.39,Low,Gainer,Clinical Data,
BHVN,2025-11-07,2025-11-07,NCT06419608,Efficacy and Safety Study of BHV-7000 Monotherapy in Major Depression,PHASE2,Biohaven Therapeutics Ltd.,Major Depressive Disorder,336,BHV-7000; Placebo,1528.6,-3.17,-8.68,8.53,8.26,Low,Loser,Clinical Data,
NVS,2023-05-29,2023-05-30,NCT04795427,"Study of Efficacy and Safety of CML-CP Patients Treated With Asciminib Versus Best Available Therapy, Previously Treated With 2 or More Tyrosine Kinase Inhibitors",PHASE2,Novartis Pharmaceuticals,"Leukemia, Chronic Myelogenous",84,asciminib; best available treatment,,-1.34,-1.65,90.91,89.69,Low,Loser,Clinical Data,
NRC,2025-08-28,2025-08-28,NCT05828108,Study of the Selective GlyT1 Inhibitor Bitopertin for Steroid-Refractory Diamond-Blackfan Anemia,PHASE1/PHASE2,"National Heart, Lung, and Blood Institute (NHLBI)",Steroid-refractory Diamond-Blackfan Anemia (DBA),15,Bitopertin,303.8,-5.36,-5.1,15.22,14.4,Medium,Loser,Clinical Data,
NRC,2022-02-16,2022-02-16,NCT03382561,Cisplatin/Carboplatin and Etoposide With or Without Nivolumab in Treating Patients With Extensive Stage Small Cell Lung Cancer,PHASE2,National Cancer Institute (NCI),Extensive Stage Lung Small Cell Carcinoma; Recurrent Lung Small Cell Carcinoma,160,Carboplatin; Cisplatin; Etoposide,303.8,0.25,-1.42,36.03,36.12,Low,Gainer,Clinical Data,
SNY,2025-05-02,2025-05-02,NCT05639894,Study of a Respiratory Syncytial Virus Candidate Encapsulated in a Lipid Nanoparticle Based Formulation in Adults Aged 18 to 50 Years and 60 Years and Older,PHASE1/PHASE2,"Sanofi Pasteur, a Sanofi Company",Respiratory Syncytial Virus Immunization,865,RSV vaccine candiate formulation 1; RSV vaccine candidate formulation 2; Placebo,,2.48,0.91,51.8,53.09,Low,Gainer,Clinical Data,
SNY,2023-06-29,2023-06-29,NCT04762680,Study of Recombinant Protein Vaccines With Adjuvant as a Primary Series and as a Booster Dose Against COVID-19 in Adults 18 Years of Age and Older,PHASE2/PHASE3,"Sanofi Pasteur, a Sanofi Company",COVID-19,3159,SARS-CoV-2 recombinant protein vaccine Phase 2 Formulation 1; SARS-CoV-2 recombinant protein vaccine Phase 2 Formulation 2; SARS-CoV-2 recombinant protein vaccine Phase 2 Formulation 3,,-1.4,0.3,49.37,48.68,Low,Loser,Clinical Data,
SCLX,2023-05-30,2023-05-30,NCT05096494,Safety and Efficacy of SP-103 in Subjects With Moderate to Severe Acute Lower Back Pain,PHASE2,"Scilex Pharmaceuticals, Inc.",Moderate to Severe Acute Lower Back Pain,75,SP-103; Placebo,57.7,-3.19,-5.1,219.45,212.45,Low,Loser,Clinical Data,
CGTX,2023-07-22,2023-07-24,NCT05029466,Psilocybin for Treatment-Resistant Depression,PHASE2,Brain and Cognition Discovery Foundation,Treatment Resistant Depression,30,Psilocybin,96.2,0.53,-4.76,1.89,1.9,Low,Gainer,Clinical Data,
AZN,2025-10-15,2025-10-15,NCT06435273,Phase II Study to Evaluate the Effect of AZD4604 on Airway Inflammation and Biomarkers in Adults With Asthma,PHASE2,AstraZeneca,Asthma,36,AZD4604; Placebo to AZD4604,,-0.34,-1.52,168.48,167.91,Low,Loser,Clinical Data,
AMGN,2023-08-07,2023-08-07,NCT05368103,Study of DAXDILIMAB for the Treatment of Moderate-to-Severe Alopecia Areata,PHASE2,Amgen,Alopecia Areata,30,Daxdilimab,,3.97,7.2,223.54,232.42,Low,Gainer,Clinical Data,
HELP,2023-10-16,2023-10-16,NCT05385783,A Study of a Psilocybin Analog (CYB003) in Healthy Participants With and Without Major Depressive Disorder,PHASE1/PHASE2,Cybin IRL Limited,Major Depressive Disorder,57,CYB003; Psychotherapy; Placebo,366.7,-0.69,-6.94,21.89,21.74,Low,Loser,Clinical Data,
MRK,2024-07-09,2024-07-09,NCT04767373,Efficacy and Safety of Clesrovimab (MK-1654) in Infants (MK-1654-004),PHASE2/PHASE3,Merck Sharp & Dohme LLC,Respiratory Syncytial Virus Infection,3632,Clesrovimab; Placebo,,0.21,1.21,119.46,119.71,Low,Gainer,Clinical Data,
VRTX,2024-07-09,2024-07-09,NCT04835441,ALPN-101 (Acazicolcept) in Systemic Lupus Erythematosus,PHASE2,"Alpine Immune Sciences Inc, A Subsidiary of Vertex",Systemic Lupus Erythematosus,76,ALPN-101; Placebo,,0.85,2.02,481.89,485.99,Low,Gainer,Clinical Data,
ANRO,2023-01-13,,NCT05419869,Pilot Decentralized Trial,PHASE2,Alto Neuroscience,Major Depressive Disorder,21,ALTO-100 PO Tablet,611.7,,,,,Unknown,Loser,Clinical Data,Insufficient price data
TERN,2023-07-10,2023-07-10,NCT05415722,"DUET Study: A Clinical Study to Evaluate the Safety, Efficacy, Pharmacokinetics and Pharmacodynamics of Orally Administered TERN-501 as Monotherapy and in Combination With TERN-101 in Noncirrhotic Adults With Presumed Non-Alcoholic Steatohepatitis",PHASE2,"Terns, Inc.",NASH - Nonalcoholic Steatohepatitis,162,TERN-501; TERN-101; Placebo,4581.3,1.7,0.73,8.22,8.36,Low,Gainer,Clinical Data,
RHHBY,2019-11-14,2019-11-14,NCT02913482,"Investigate Safety, Tolerability, PK, PD and Efficacy of Risdiplam (RO7034067) in Infants With Type1 Spinal Muscular Atrophy",PHASE2,Hoffmann-La Roche,"Muscular Atrophy, Spinal",62,Risdiplam,,-0.69,-0.19,30.82,30.6,Low,Loser,Clinical Data,
