ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
MDXG,2021-09-13,-59.56,17.05,3.49,Loser,724.2,unmatched,
ABUS,2019-10-31,59.55,9.26,6.43,Gainer,896.2,unmatched,
NVAX,2018-01-10,59.4,,,Gainer,1647.7,unmatched,
ALT,2018-09-20,59.36,10.77,5.51,Gainer,539.7,unmatched,
MDXG,2018-12-06,-59.32,56.79,1.04,Loser,724.2,unmatched,
DBVT,2018-12-20,-59.29,20.24,2.93,Loser,1153.6,unmatched,
MSLE,2018-06-13,59.09,4.71,12.53,Gainer,256.9,unmatched,
KALV,2022-10-04,-58.92,20.44,2.88,Loser,822.9,unmatched,
COGT,2022-06-10,58.67,8.18,7.18,Gainer,6305.7,unmatched,
SAVA,2021-02-03,58.64,7.45,7.87,Gainer,110.1,unmatched,
PTGX,2018-08-06,58.63,5.8,10.11,Gainer,5756.4,unmatched,
SVRA,2019-10-02,-58.47,28.0,2.09,Loser,1224.9,unmatched,
CORT,2020-09-02,58.45,4.91,11.91,Gainer,3797.6,unmatched,
PETS,2021-06-02,58.39,4.15,14.08,Gainer,58.6,unmatched,
NRXP,2022-05-26,-58.19,34.18,1.7,Loser,55.1,unmatched,
NERV,2022-08-26,58.19,11.64,5.0,Gainer,285.6,unmatched,
IBIO,2022-12-07,-58.13,25.0,2.33,Loser,97.4,unmatched,
SLS,2019-06-14,-57.89,54.69,1.06,Loser,839.5,unmatched,
CNTB,2022-05-04,-57.73,27.54,2.1,Loser,138.1,unmatched,
CNTB,2021-11-19,-57.72,27.36,2.11,Loser,138.1,unmatched,
MSLE,2018-06-19,57.5,4.76,12.07,Gainer,256.9,unmatched,
CRMD,2022-08-09,-57.45,21.41,2.68,Loser,561.8,unmatched,
PTGX,2018-03-26,-57.17,23.94,2.39,Loser,5756.4,unmatched,
MSLE,2019-02-22,57.14,6.91,8.27,Gainer,256.9,unmatched,
ATHE,2020-07-01,57.14,7.91,7.22,Gainer,62.4,unmatched,
ALEC,2021-07-02,57.12,6.67,8.56,Gainer,265.2,unmatched,
PGEN,2020-03-19,57.06,16.84,3.39,Gainer,1341.0,unmatched,
TRVI,2022-04-07,56.84,11.18,5.08,Gainer,1528.5,unmatched,
TLSA,2020-04-09,56.68,15.03,3.77,Gainer,184.5,unmatched,
IMUX,2022-10-10,56.57,7.08,7.99,Gainer,122.7,unmatched,
SAVA,2018-10-04,-56.55,19.45,2.91,Loser,110.1,unmatched,
FBRX,2020-03-06,56.52,13.14,4.3,Gainer,378.6,unmatched,
LCTX,2019-01-29,56.18,9.17,6.12,Gainer,442.2,unmatched,
IBRX,2020-12-21,56.14,8.93,6.29,Gainer,9633.0,unmatched,
NRXP,2020-12-22,55.93,11.63,4.81,Gainer,55.1,unmatched,
OVID,2020-12-02,-55.86,19.65,2.84,Loser,116.1,unmatched,
OCGN,2019-04-08,55.86,12.46,4.48,Gainer,595.7,unmatched,
